iter	RMSE
0	4.284995537
1	4.167976467
2	4.051072076
3	3.939632846
4	3.839117068
5	3.734387866
6	3.637635397
7	3.537879107
8	3.43820733
9	3.350665077
10	3.256177171
11	3.165100532
12	3.078859128
13	2.993022814
14	2.905519473
15	2.8282188
16	2.759894306
17	2.680015931
18	2.61055015
19	2.538456392
20	2.463398916
21	2.397987669
22	2.338055458
23	2.271669067
24	2.209596485
25	2.154773851
26	2.100278895
27	2.043906484
28	1.990227015
29	1.938738214
30	1.890740512
31	1.846876282
32	1.803897933
33	1.755564297
34	1.713164867
35	1.671387478
36	1.62790782
37	1.584251825
38	1.543097039
39	1.501838276
40	1.462272252
41	1.423658003
42	1.386085496
43	1.351781857
44	1.316780291
45	1.283343289
46	1.253092636
47	1.222724435
48	1.192314472
49	1.162772018
50	1.132555416
51	1.10504873
52	1.080115433
53	1.053288725
54	1.026748362
55	1.002288943
56	0.9758821395
57	0.9530250725
58	0.9302387816
59	0.9074268233
60	0.8851684579
61	0.8661316093
62	0.8469571698
63	0.8254484088
64	0.8080712409
65	0.7882297664
66	0.7710153178
67	0.7533199274
68	0.7351840631
69	0.7200143135
70	0.7030584249
71	0.6875433164
72	0.6720251346
73	0.6589862382
74	0.6438867285
75	0.6297351201
76	0.6171662001
77	0.6045125106
78	0.5908352502
79	0.5765998483
80	0.5636731888
81	0.5516823263
82	0.5396548228
83	0.5299083624
84	0.5187620584
85	0.5080470319
86	0.4989388473
87	0.4894412861
88	0.4799847849
89	0.4700333248
90	0.4598970459
91	0.4500313102
92	0.4411424093
93	0.4319306487
94	0.4245332231
95	0.4158735057
96	0.407500894
97	0.3998484971
98	0.3926295725
99	0.3855262655
100	0.37788388
101	0.3709652972
102	0.3641454105
103	0.3582312433
104	0.3520480453
105	0.3447315665
106	0.3393679495
107	0.3333994834
108	0.3272350072
109	0.3221408717
110	0.3169044901
111	0.3117711821
112	0.3059457437
113	0.3013771203
114	0.296283465
115	0.2918327765
116	0.2881010624
117	0.2841018247
118	0.2801757815
119	0.276094523
120	0.2719701664
121	0.2684769153
122	0.2644252539
123	0.2613023512
124	0.2578088196
125	0.2549289529
126	0.2509541569
127	0.2471632552
128	0.2439768498
129	0.2404733444
130	0.2374510333
131	0.2349956618
132	0.2325166341
133	0.2296499663
134	0.2265218475
135	0.2238895441
136	0.2212902345
137	0.219036415
138	0.2169375349
139	0.2148541145
140	0.2126771125
141	0.2098636946
142	0.2079640554
143	0.2062447682
144	0.2043302303
145	0.2023779171
146	0.2004388659
147	0.1986466748
148	0.1971234509
149	0.1953853162
150	0.1937888104
151	0.1921494421
152	0.1900231828
153	0.1883306291
154	0.1867177412
155	0.1845522195
156	0.1831728787
157	0.1817518284
158	0.1803783692
159	0.1789225657
160	0.1772281172
161	0.1757485555
162	0.1741023652
163	0.1730000027
164	0.1715262109
165	0.169813652
166	0.168540579
167	0.1668820351
168	0.1654315021
169	0.16446407
170	0.163260385
171	0.1619592769
172	0.1609514035
173	0.1597052987
174	0.158704792
175	0.1573989032
176	0.1560785934
177	0.1547437512
178	0.1539192922
179	0.1527616823
180	0.1515913367
181	0.1508662356
