Timestamp,Temperature,Humidity,Rain,Cloudcover,Shortwave_Radiation,Windspeed,Winddirection,Soil_temperature_7-28,Soil_moisture_0-7,Et0_evapotranspiration,hour,minute,date,month,day_of_year,rolling_mean_grouped_soil_temp,irrigation_amount,prediction_label,smoothed_values,smoothed_values_vol
2025-03-25 15:00:00+01:00,13.4,68,0.0,54,372.2,10.2,321,10.2,0.272,0.19,15,0,25,3,84,10.2,0,17.2807656441254,17.38626309856187,0.1589
2025-03-25 16:00:00+01:00,13.4,66,0.0,90,286.0,8.9,313,10.4,0.272,0.16,16,0,25,3,84,10.4,0,17.5018927944259,17.496866175577885,0.1585
2025-03-25 17:00:00+01:00,12.9,67,0.0,69,111.5,7.7,319,10.6,0.272,0.08,17,0,25,3,84,10.6,0,17.85565097281929,17.676537580622366,0.1579
2025-03-25 18:00:00+01:00,12.2,69,0.0,89,50.8,6.9,317,10.7,0.272,0.05,18,0,25,3,84,10.7,0,17.91020259833045,17.705856573154918,0.1578
2025-03-25 19:00:00+01:00,11.1,75,0.0,3,2.5,4.0,297,10.8,0.272,0.03,19,0,25,3,84,10.8,0,18.11192256899611,17.811456281879096,0.1574
2025-03-25 20:00:00+01:00,10.1,80,0.0,24,0.0,4.0,280,10.7,0.273,0.0,20,0,25,3,84,10.7,0,18.52339773125033,18.027532811404473,0.1566
2025-03-25 21:00:00+01:00,8.6,83,0.0,100,0.0,8.4,313,10.5,0.273,0.0,21,0,25,3,84,10.5,0,18.072367723300108,17.795513888763075,0.1575
2025-03-25 22:00:00+01:00,7.2,85,0.0,98,0.0,6.8,302,10.4,0.273,0.0,22,0,25,3,84,10.4,0,18.13453896420891,17.83048760960234,0.1573
2025-03-25 23:00:00+01:00,6.6,87,0.0,98,0.0,5.4,290,10.2,0.274,0.0,23,0,25,3,84,10.2,0,18.238793971708155,17.888261064385027,0.1571
2025-03-26 00:00:00+01:00,6.6,86,0.0,100,0.0,3.6,270,9.9,0.274,0.0,0,0,26,3,85,9.9,0,19.200163524635535,18.40497958449869,0.1553
2025-03-26 01:00:00+01:00,6.7,86,0.0,100,0.0,4.3,265,9.7,0.274,0.0,1,0,26,3,85,9.7,0,19.021975498416868,18.315489639680976,0.1556
2025-03-26 02:00:00+01:00,6.8,86,0.0,100,0.0,5.8,266,9.5,0.275,0.0,2,0,26,3,85,9.5,0,18.732327824071664,18.164220803875086,0.1562
2025-03-26 03:00:00+01:00,6.4,84,0.0,100,0.0,6.3,246,9.3,0.275,0.0,3,0,26,3,85,9.3,0,18.87600861299773,18.247273916791087,0.1559
2025-03-26 04:00:00+01:00,6.6,79,0.0,100,0.0,4.9,253,9.2,0.275,0.0,4,0,26,3,85,9.2,0,18.971074486838866,18.304663431668047,0.1557
2025-03-26 05:00:00+01:00,6.7,80,0.0,100,0.0,3.7,259,9.0,0.275,0.0,5,0,26,3,85,9.0,0,19.331760689300538,18.50968364216419,0.155
2025-03-26 06:00:00+01:00,6.8,80,0.0,100,0.0,3.6,233,8.8,0.276,0.0,6,0,26,3,85,8.8,0,19.294815432849298,18.495900167829387,0.155
2025-03-26 07:00:00+01:00,7.1,78,0.4,99,8.0,4.0,270,8.7,0.276,0.02,7,0,26,3,85,8.7,0,18.98967249990808,18.331470423491574,0.1556
2025-03-26 08:00:00+01:00,7.3,79,0.7,100,30.5,5.8,263,8.6,0.277,0.04,8,0,26,3,85,8.6,0,18.48647677024105,18.053028543583906,0.1566
2025-03-26 09:00:00+01:00,7.6,76,0.6,100,41.8,7.3,250,8.5,0.279,0.05,9,0,26,3,85,8.5,0,18.11848547971029,17.847676076854214,0.1573
2025-03-26 10:00:00+01:00,7.9,78,0.1,100,47.2,9.6,257,8.5,0.282,0.05,10,0,26,3,85,8.5,0,17.846677837517028,17.694606936461277,0.1578
2025-03-26 11:00:00+01:00,8.0,82,0.0,100,66.2,11.1,283,8.4,0.283,0.05,11,0,26,3,85,8.4,0,17.415141448980247,17.44769298439202,0.1587
2025-03-26 12:00:00+01:00,8.1,87,0.0,100,50.2,10.6,294,8.4,0.284,0.04,12,0,26,3,85,8.4,0,17.34081311439323,17.404398691843674,0.1589
2025-03-26 13:00:00+01:00,8.2,81,0.0,100,72.0,10.5,292,8.4,0.284,0.06,13,0,26,3,85,8.4,0,17.340054779362013,17.403414935818642,0.1589
2025-03-26 14:00:00+01:00,8.8,79,0.0,100,101.5,9.5,299,8.4,0.284,0.07,14,0,26,3,85,8.4,0,17.551916205875376,17.527007314175698,0.1584
2025-03-26 15:00:00+01:00,9.1,75,0.0,100,99.5,11.2,312,8.4,0.284,0.07,15,0,26,3,85,8.4,0,17.385358844426218,17.42903784826361,0.1588
2025-03-26 16:00:00+01:00,9.0,75,0.0,100,91.0,9.3,306,8.5,0.284,0.07,16,0,26,3,85,8.5,0,17.450810198705213,17.46747538019105,0.1586
2025-03-26 17:00:00+01:00,9.0,70,0.0,100,39.0,9.2,315,8.5,0.284,0.05,17,0,26,3,85,8.5,0,17.42164943271522,17.44993399133092,0.1587
2025-03-26 18:00:00+01:00,8.7,77,0.0,100,20.0,7.1,311,8.6,0.283,0.04,18,0,26,3,85,8.6,0,17.543428891224988,17.5227665887217,0.1584
2025-03-26 19:00:00+01:00,8.6,76,0.0,100,1.5,5.7,288,8.6,0.283,0.03,19,0,26,3,85,8.6,0,17.61906888362276,17.568604598906845,0.1583
2025-03-26 20:00:00+01:00,8.2,79,0.0,100,0.0,5.4,270,8.5,0.283,0.0,20,0,26,3,85,8.5,0,17.637943707171697,17.580508419454247,0.1582
2025-03-26 21:00:00+01:00,8.1,79,0.0,93,0.0,4.7,261,8.5,0.283,0.0,21,0,26,3,85,8.5,0,17.83780878126245,17.703051229883165,0.1578
2025-03-26 22:00:00+01:00,8.0,79,0.0,88,0.0,5.8,266,8.4,0.283,0.0,22,0,26,3,85,8.4,0,17.802039517751627,17.68228707273579,0.1579
2025-03-26 23:00:00+01:00,7.7,82,0.0,77,0.0,4.3,265,8.4,0.283,0.0,23,0,26,3,85,8.4,0,18.13573915292579,17.889419333122774,0.1571
2025-03-27 00:00:00+01:00,6.9,85,0.0,86,0.0,5.2,245,8.3,0.283,0.0,0,0,27,3,86,8.3,0,18.63130584884117,18.199353941881746,0.156
2025-03-27 01:00:00+01:00,6.8,84,0.0,100,0.0,4.6,252,8.2,0.283,0.0,1,0,27,3,86,8.2,0,18.598184632883893,18.182579377604373,0.1561
2025-03-27 02:00:00+01:00,6.9,83,0.0,100,0.0,4.6,252,8.1,0.283,0.0,2,0,27,3,86,8.1,0,18.635614652229513,18.209854424185124,0.156
2025-03-27 03:00:00+01:00,6.8,83,0.0,87,0.2,3.8,253,8.0,0.283,0.0,3,0,27,3,86,8.0,0,18.93456187005547,18.40243502112894,0.1553
2025-03-27 04:00:00+01:00,6.5,85,0.0,68,0.0,4.3,275,7.9,0.283,0.0,4,0,27,3,86,7.9,0,18.916348152266522,18.39576414399891,0.1553
2025-03-27 05:00:00+01:00,5.7,89,0.0,71,0.0,5.1,262,7.8,0.284,0.0,5,0,27,3,86,7.8,0,18.80772076876723,18.331272261649996,0.1556
2025-03-27 06:00:00+01:00,5.1,91,0.0,81,0.0,5.5,259,7.7,0.284,0.0,6,0,27,3,86,7.7,0,18.564754598839237,18.17987908732886,0.1561
2025-03-27 07:00:00+01:00,5.1,90,0.0,59,38.8,4.7,266,7.6,0.284,0.01,7,0,27,3,86,7.6,0,18.55912641861152,18.179842945738432,0.1561
2025-03-27 08:00:00+01:00,6.1,86,0.0,60,146.0,5.4,278,7.5,0.284,0.05,8,0,27,3,86,7.5,0,18.152977762390535,17.920222261464367,0.157
2025-03-27 09:00:00+01:00,7.3,82,0.0,75,239.5,5.5,302,7.4,0.284,0.1,9,0,27,3,86,7.4,0,16.980339281825223,17.15866624176921,0.1598
2025-03-27 10:00:00+01:00,8.5,78,0.0,71,357.5,6.4,313,7.5,0.284,0.15,10,0,27,3,86,7.5,0,16.818756774105527,17.051198989128885,0.1602
2025-03-27 11:00:00+01:00,9.6,73,0.0,66,436.5,6.9,313,7.7,0.283,0.2,11,0,27,3,86,7.7,0,16.236199123736895,16.66570713600912,0.1616
2025-03-27 12:00:00+01:00,10.7,68,0.0,75,486.5,7.4,313,8.1,0.283,0.23,12,0,27,3,86,8.1,0,15.800825421035269,16.373716697438315,0.1627
2025-03-27 13:00:00+01:00,11.7,61,0.0,57,502.0,6.9,317,8.4,0.283,0.25,13,0,27,3,86,8.4,0,15.730458503284565,16.321430424172647,0.1629
2025-03-27 14:00:00+01:00,12.5,55,0.0,36,566.0,5.9,317,8.5,0.279,0.28,14,0,27,3,86,8.5,0,15.141229842944558,15.922249723072436,0.1643
2025-03-27 15:00:00+01:00,12.9,53,0.0,27,494.0,5.6,320,8.9,0.278,0.25,15,0,27,3,86,8.9,0,15.834877697598712,16.380040402439075,0.1626
2025-03-27 16:00:00+01:00,13.0,51,0.0,16,382.0,4.6,321,9.3,0.277,0.19,16,0,27,3,86,9.3,0,16.404725209412565,16.75887810667395,0.1612
2025-03-27 17:00:00+01:00,12.7,52,0.0,6,235.0,3.3,319,9.6,0.276,0.11,17,0,27,3,86,9.6,0,17.107172331976507,17.231231862840968,0.1595
2025-03-27 18:00:00+01:00,11.9,56,0.0,0,87.0,2.3,321,9.8,0.275,0.04,18,0,27,3,86,9.8,0,17.50481719750929,17.50064728864257,0.1585
2025-03-27 19:00:00+01:00,10.7,61,0.0,0,4.0,0.8,333,9.9,0.275,0.02,19,0,27,3,86,9.9,0,17.731594014671188,17.655764379003426,0.158
2025-03-27 20:00:00+01:00,9.4,64,0.0,0,0.0,3.0,166,9.8,0.274,0.0,20,0,27,3,86,9.8,0,17.760172505663483,17.6761611095872,0.1579
2025-03-27 21:00:00+01:00,7.4,75,0.0,0,0.0,4.3,175,9.7,0.274,0.0,21,0,27,3,86,9.7,0,17.443256184784378,17.458284035112957,0.1587
2025-03-27 22:00:00+01:00,5.6,86,0.0,0,0.0,4.7,180,9.5,0.274,0.0,22,0,27,3,86,9.5,0,17.596505278753256,17.56438347848774,0.1583
2025-03-27 23:00:00+01:00,4.6,90,0.0,0,0.0,4.7,184,9.2,0.274,0.0,23,0,27,3,86,9.2,0,17.662908784536434,17.61096143281766,0.1581
2025-03-28 00:00:00+01:00,3.7,92,0.0,15,0.0,4.7,180,9.0,0.274,0.0,0,0,28,3,87,9.0,0,18.640990167016604,18.29577315675279,0.1557
2025-03-28 01:00:00+01:00,3.0,93,0.0,27,0.0,4.3,180,8.7,0.274,0.0,1,0,28,3,87,8.7,0,18.84988703816822,18.44615744148699,0.1552
